harvest_year,tur_usd,ulker_try,mdlz_usd,nestle_usd,barry_chf,hershey_usd,bunge_usd,cocoa_usd,dba_usd,tryusd,olam_usd,lindt_chf,haz_price_ret,haz_prod_ret,basket_ret
2000,,,,,,,,,,,,,,-0.1132075471698113,
2001,,,,0.009161357332448938,-0.14243119680362826,0.5411364886637855,,0.24429530201342287,,,,0.05728801199339162,-0.29757270437371186,0.32978723404255317,
2002,,,0.2462313977716033,0.031576954995882645,-0.266810825988533,0.19628934720114177,0.18388417077599994,1.1704422869471411,,,,-0.02128469430443436,-0.1067644661776691,-0.040000000000000036,
2003,,,-0.23993766774821412,0.03873350940781006,0.2658382615719652,-0.05913783598338973,0.4368086585790889,-0.09542743538767395,,,,0.0959711253089135,1.031934306569343,-0.19999999999999996,
2004,,,0.0776417731285175,0.1150625518053916,0.28914969756468323,0.4091177261881209,0.336839678060457,,,,,0.6011902663700364,1.137654043805818,-0.27083333333333337,
2005,,-0.16694153555349744,0.015998949594673073,0.21309311550326293,0.5813920848617176,0.24343288808133146,0.48769964018612355,,,,,0.40532777783940155,-0.09098844672657258,0.5142857142857142,
2006,,-0.05445895391071154,0.1278731281284773,0.2502644095775728,0.4866937450271449,-0.07063504215964123,-0.030213813681786217,0.051851851851851816,,0.091247720372029,,0.32194910776704977,-0.4125803022600175,0.24716981132075477,
2007,,0.45606996256871524,-0.02638280286907957,0.2993535622333108,0.5941338438643355,-0.120483972364686,0.6386469255653626,0.3154929577464789,,-0.11604100506529613,,0.37772753961053596,0.7068799720255268,-0.19818456883509838,
2008,,-0.40012904105651004,0.017328459949606856,0.037080016183987485,-0.16858030549413494,-0.2001004538935729,-0.01635970492915184,0.5331905781584583,0.34651462010253553,-0.08100386560298245,,-0.22052552063055686,-0.4643098591549296,0.5109264150943396,
2009,-0.04141665926940663,0.13433519076316736,-0.060192951339645084,-0.026432731336322735,-0.20477264535589268,0.1246351706865183,-0.23962252803613426,-0.03212290502793291,-0.24827439514644145,0.2599782316076018,,-0.18847269699991687,0.5044433927538519,-0.3756173583369443,0.08059409797535474
2010,0.27677809425208433,0.2430425511712515,0.09920312274367005,0.28174812574780495,0.22678659481957286,0.2213808559764472,-0.1975054551442338,,-0.004216159165238875,0.015805267277635204,,0.0737318819176378,-0.01966890152839107,0.19999999999999996,
2011,-0.1642169811919565,0.2529499352955207,0.21376911810025745,0.2433118797499767,0.0889679236008798,0.29602883143741066,0.2387181835155514,,0.31293303398439476,0.13648892023558856,,0.07873061010800919,0.2140217814080123,-0.2833333333333333,
2012,0.15449272024737604,0.7706758701537526,0.22308001463371996,0.03837223165429138,0.20164899569887007,0.25454335835731,-0.0005724784070952893,-0.14267269205939315,-0.10817938313758113,0.055109524010539035,,0.19818749060700047,-0.2728340675477239,0.5348837209302326,0.08792163412306316
2013,-0.11427957827650959,0.32015871552683106,0.13696674567214573,0.08295652908753848,-0.020332532422401073,0.307490176588908,0.20901039707394364,-0.09149096385542166,-0.17554237509187065,0.11595947027870701,,0.2704896553954459,0.2823101777059773,-0.1681818181818182,0.0858380001509679
2014,0.1640424059761123,0.5489328504826358,0.19934119391739236,0.2236024725366994,0.30212874718943983,0.014044207262946529,0.13440852394503522,0.3340240364691256,0.055023681943993985,0.059824312074158614,,0.3137976228538948,0.8676265466816646,-0.180327868852459,0.09550264056146585
2015,-0.29422760323453734,0.13406705787995166,0.18966542132347564,-0.02218133925420185,-0.04201002445860502,0.0011075650325802489,-0.13079380567922205,-0.0363466915191053,-0.21088420199746027,0.3507990494777282,,0.15031311006244819,-0.3976100992579743,0.4355555555555555,0.08030515092930937
