harvest_year,tur_usd,ulker_try,mdlz_usd,nestle_usd,barry_chf,hershey_usd,bunge_usd,cocoa_usd,dba_usd,tryusd
2000,,,,10.61971378326416,181.6138458251953,11.738022804260254,,745.0,,
2001,,,11.50590705871582,10.717004776000977,155.74636840820312,18.089895248413086,11.131099700927734,927.0,,
2002,,,14.339022636413574,11.055415153503418,114.1915512084961,21.640748977661133,13.177932739257812,2012.0,,
2003,,,10.898550987243652,11.483630180358887,144.54803466796875,20.3609619140625,18.934167861938477,1820.0,,
2004,,3.021120071411133,11.744733810424805,12.80496597290039,186.34405517578125,28.69099235534668,25.311946868896484,,,
2005,,2.5167696475982666,11.932637214660645,15.533616065979004,294.6830139160156,35.675323486328125,37.65657424926758,1350.0,,1.3424999713897705
2006,,2.379709005355835,13.458500862121582,19.421127319335938,438.1033935546875,33.1553955078125,36.51882553100586,1420.0,,1.465000033378601
2007,,3.4650228023529053,13.10342788696289,25.23491096496582,698.3954467773438,29.160701751708984,59.841461181640625,1868.0,22.156269073486328,1.2949999570846558
2008,33.39096450805664,2.078566551208496,13.330490112304688,26.170621871948242,580.6597290039062,23.325632095336914,58.86247253417969,2864.0,29.833740234375,1.1900999546051025
2009,32.00802230834961,2.3577911853790283,12.528088569641113,25.47886085510254,461.7565002441406,26.232826232910156,44.75769805908203,2772.0,22.426786422729492,1.499500036239624
2010,40.86714172363281,2.9308347702026367,13.770914077758789,32.6574821472168,566.4766845703125,32.0402717590332,35.917808532714844,,22.332231521606445,1.5232000350952148
2011,34.156063079833984,3.672189235687256,16.714710235595703,40.60343551635742,616.8749389648438,41.525115966796875,44.492042541503906,3098.0,29.320724487304688,1.7310999631881714
2012,39.432926177978516,6.502256870269775,20.44342803955078,42.16147994995117,741.2671508789062,52.09505844116211,44.46657180786133,2656.0,26.148826599121094,1.8265000581741333
2013,34.92654800415039,8.58401107788086,23.243497848510742,45.65904998779297,726.1953125,68.11377716064453,53.76054763793945,2413.0,21.5585994720459,2.038300037384033
2014,40.655982971191406,13.296056747436523,27.87688446044922,55.868526458740234,945.5997924804688,69.07038116455078,60.98642349243164,3219.0,22.74483299255371,2.1602399349212646
2015,28.693870544433594,15.078619956970215,33.16416549682617,54.62928771972656,905.8751220703125,69.14688110351562,53.0097770690918,3102.0,17.948307037353516,2.9180500507354736
2016,29.137348175048828,17.77368927001953,35.82218551635742,60.796653747558594,1093.99267578125,79.2065658569336,47.92234802246094,2921.0,17.389570236206055,2.9632999897003174
2017,36.42833709716797,17.807771682739258,32.91843032836914,66.83853149414062,1198.2320556640625,85.12553405761719,57.38018798828125,1966.0,16.022815704345703,3.4551000595092773
2018,16.47960090637207,12.889927864074707,35.33118438720703,68.20891571044922,1510.408935546875,83.7000732421875,51.26728439331055,2323.0,14.66465950012207,6.734099864959717
2019,20.269283294677734,15.782977104187012,46.710872650146484,91.5343017578125,1796.1463623046875,135.4336700439453,43.652809143066406,2161.0,13.014507293701172,5.832699775695801
2020,17.078014373779297,20.31555938720703,50.515785217285156,100.60657501220703,1796.6561279296875,129.69631958007812,38.87853240966797,2723.0,13.00713062286377,7.324900150299072
2021,21.035083770751953,17.70454978942871,54.82138442993164,108.31611633300781,2118.895751953125,158.31378173828125,66.57168579101562,,16.881031036376953,8.367300033569336
2022,20.537126541137695,16.658750534057617,55.880287170410156,102.7672348022461,1842.718994140625,203.97314453125,89.13257598876953,2427.0,18.204687118530273,18.15026092529297
2023,35.564125061035156,56.454654693603516,65.88117980957031,108.1235122680664,1439.337646484375,198.49288940429688,105.43832397460938,3602.0,19.277849197387695,26.681299209594727
2024,35.98479461669922,136.97195434570312,68.03507995605469,99.4896011352539,1312.4793701171875,182.93914794921875,95.98426055908203,9666.0,23.070791244506836,34.07733917236328
