year,feb_dh,emarch_dh,lmarch_dh,april_dh,may_dh,frost_dh
1940,25.0822,133.6679,179.2788,0.1414,0.0,338.1703
1941,3.947,2.8568,114.6403,2.3144,0.0,123.7585
1942,27.1968,10.9336,114.979,1.8255,0.0,154.9349
1943,133.1718,86.9386,27.4925,5.701,0.0,253.3039
1944,49.8226,0.0,60.57,21.7449,0.0,132.1375
1945,185.9734,49.5699,18.9218,3.3475,0.0,257.8126
1946,105.2322,1.1648,25.6974,1.7706,0.0,133.865
1947,83.7776,0.0,15.1025,3.477,0.0,102.3571
1948,50.2491,34.5003,44.0893,14.5482,0.0,143.3869
1949,119.646,53.51,22.0676,25.504,0.0,220.7276
1950,0.0,0.0,17.0748,0.0,0.0,17.0748
1951,0.0,0.0,0.0,0.0472,0.0,0.0472
1952,0.0,52.067,38.4242,3.7144,0.0,94.2056
1953,0.0,36.9777,14.1499,0.1465,0.0,51.2741
1954,0.0,0.0,1.1149,0.3411,0.0,1.456
1955,0.0,5.72,0.0,0.0,0.0,5.72
1956,0.0,25.4418,67.7454,17.5276,0.0,110.7148
1957,0.0,37.7536,0.2309,0.0,0.0,37.9845
1958,0.0,1.1788,13.4343,0.0,0.0,14.6131
1959,0.0,15.7892,4.8678,1.9736,0.0,22.6306
1960,0.0,39.4716,5.3691,0.0,0.0,44.8407
1961,0.0,49.3007,11.9826,1.3824,0.0,62.6657
1962,0.0,26.0632,0.0286,0.0376,0.0,26.1294
1963,0.0,25.4994,59.8531,0.2054,0.0,85.5579
1964,0.0,2.1856,0.0,0.544,0.0,2.7296
1965,0.0,14.2371,2.7421,9.6856,0.0,26.6648
1966,0.0,0.0,23.6791,1.4659,0.0,25.145
1967,0.0,0.033,11.418,1.1452,0.0,12.5962
1968,0.0,8.7318,21.6793,0.0,0.0,30.4111
1969,0.0,0.5257,6.4464,13.4432,0.0,20.4153
1970,0.0,0.8175,1.9192,0.0,0.0,2.7367
1971,0.0,7.5029,8.5129,0.3571,0.0,16.3729
1972,0.0,6.1498,18.1405,1.7082,0.0,25.9985
1973,0.0,25.7777,14.408,0.0,0.0,40.1857
1974,0.0,0.0,0.1841,2.1801,0.0,2.3642
1975,0.0,4.4975,4.1157,0.0,0.0,8.6132
1976,0.0,8.0912,0.0,0.0,0.0,8.0912
1977,0.0,26.1672,0.0,0.0,0.0,26.1672
1978,0.0,0.0,1.8432,0.0,0.0,1.8432
1979,0.0,0.5972,0.0,0.0,0.0,0.5972
1980,0.0,8.0723,1.2197,0.0,0.0,9.292
1981,0.0,0.0,0.0214,0.2014,0.0,0.2228
1982,0.0,22.7229,16.6367,0.0,0.0,39.3596
1983,0.0,13.7134,0.0,0.0,0.0,13.7134
1984,0.0,0.0,0.0006,0.0,0.0,0.0006
1985,0.0,139.8225,0.0,0.0,0.0,139.8225
1986,0.0,4.3202,0.0,0.0,0.0,4.3202
1987,0.0,57.4884,58.8108,0.0,0.0,116.2992
1988,0.0,7.5621,2.1566,0.0,0.0,9.7187
1989,0.0,0.0,0.2709,0.0,0.0,0.2709
1990,0.0,1.6015,0.9318,0.2372,0.0,2.7705
1991,0.0,0.8483,0.0924,0.0,0.0,0.9407
1992,0.0,2.5075,5.9627,0.0,0.0,8.4702
1993,0.0,0.9725,1.1913,0.7007,0.0,2.8645
1994,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,5.6253,3.6808,0.0,9.3061
1996,0.0,8.2569,0.0,0.0103,0.0,8.2672
1997,0.0,0.2906,62.9451,28.3434,0.0,91.5791
1998,0.0,0.0,24.6111,0.0,0.0,24.6111
1999,0.0,0.0,3.7421,0.0,0.0,3.7421
2000,0.0,30.9458,27.4153,2.7943,0.0,61.1554
2001,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0041,0.0,0.0,0.0041
2003,0.0,8.8961,37.3129,5.8224,0.0,52.0314
2004,0.0,30.1572,0.0,7.1907,0.0,37.3479
2005,0.0,3.699,0.8531,1.2923,0.0,5.8444
2006,0.0,7.778,0.0,0.0,0.0,7.778
2007,0.0,0.0,0.2345,0.1765,0.0,0.411
2008,0.0,0.0,0.6038,0.0,0.0,0.6038
2009,0.0,0.0,6.4335,0.0,0.0,6.4335
2010,0.0,0.0,1.9912,0.0,0.0,1.9912
2011,0.0,6.7637,0.0,0.0,0.0,6.7637
2012,0.0,8.5241,13.9895,0.0,0.0,22.5136
2013,0.0,0.8232,0.7033,0.0,0.0,1.5265
2014,0.0,0.0,0.5572,0.0,0.0,0.5572
2015,0.0,0.0,0.3415,6.6932,0.0,7.0347
2016,0.0,0.0,1.7356,0.0,0.0,1.7356
2017,0.0,0.0,0.065,0.4151,0.0,0.4801
2018,0.0,0.1203,0.0,0.0,0.0,0.1203
2019,0.0,0.0644,0.3552,0.0,0.0,0.4196
2020,0.0,0.0,2.7636,0.0,0.0,2.7636
2021,0.0,0.0,0.7628,0.6059,0.0,1.3687
2022,0.0,58.8455,50.4391,0.0,0.0,109.2846
2023,0.0,0.0,3.2303,0.0,0.0,3.2303
2024,0.0,0.0,0.0456,0.0,0.0,0.0456
