year,jun_cp_mm,jul_cp_mm,aug_cp_mm
1990,42.55610275268555,19.645248413085938,16.62938690185547
1991,50.81273651123047,34.9388427734375,22.80809783935547
1992,78.67449951171875,53.713890075683594,17.681407928466797
1993,43.40547561645508,15.294790267944336,37.2362174987793
1994,25.304716110229492,18.61048698425293,31.579814910888672
1995,58.77555465698242,67.67584228515625,29.964998245239258
1996,28.82736587524414,16.16691780090332,41.85093307495117
1997,57.92011260986328,48.445648193359375,61.34374237060547
1998,46.62913513183594,26.212440490722656,12.118789672851562
1999,71.0391616821289,41.340980529785156,44.194923400878906
2000,37.99490737915039,7.951391696929932,54.727134704589844
2001,21.558082580566406,23.098163604736328,34.9907341003418
2002,50.912479400634766,45.8652229309082,60.74089050292969
2003,8.841175079345703,32.83740997314453,13.204657554626465
2004,47.727577209472656,15.134613037109375,44.96852493286133
2005,46.50885009765625,30.710391998291016,33.16328811645508
2006,43.416664123535156,25.383590698242188,15.26237678527832
2007,43.40089797973633,13.609495162963867,40.12774658203125
2008,32.68251037597656,20.942825317382812,14.321711540222168
2009,37.93989562988281,62.47397232055664,18.553382873535156
2010,84.87054443359375,38.84507751464844,13.328495025634766
2011,58.45884704589844,25.933029174804688,28.52552604675293
2012,35.32961654663086,38.58050537109375,48.571319580078125
2013,41.56735610961914,29.017290115356445,18.793216705322266
2014,64.43395233154297,27.857542037963867,33.01066207885742
2015,82.54141235351562,9.869735717773438,36.64632034301758
2016,47.7022590637207,27.356910705566406,32.6127815246582
2017,55.35307312011719,16.278013229370117,28.87734031677246
2018,52.41844940185547,37.56770324707031,27.451969146728516
2019,64.46295166015625,33.387840270996094,31.343427658081055
2020,61.38960647583008,18.011646270751953,20.254724502563477
2021,47.08492660522461,39.29991912841797,47.912818908691406
2022,67.68763732910156,16.35354232788086,23.231914520263672
2023,73.27957153320312,40.63782501220703,9.084957122802734
2024,20.95294189453125,54.06446075439453,29.874401092529297
