year,pollin_mm,aug_mm,sep_mm,oct_mm,harvest_mm,summer_mm
1950,168.26,91.14,64.11,181.48,336.73,194.76
1951,179.2,114.34,119.05,172.67,406.07,365.56
1952,217.53,63.79,66.94,80.94,211.67,187.65
1953,267.22,63.56,115.46,123.19,302.2,266.17
1954,180.08,86.94,71.08,65.92,223.93,275.17
1955,174.37,86.25,65.43,105.82,257.5,179.89
1956,273.09,44.23,61.78,79.65,185.66,147.58
1957,167.91,23.76,91.28,79.88,194.92,96.79
1958,229.43,78.5,102.92,103.23,284.65,258.88
1959,232.33,94.7,170.31,118.91,383.93,223.07
1960,248.98,135.63,78.64,72.66,286.93,357.11
1961,218.83,56.19,125.1,74.47,255.76,230.46
1962,234.95,43.26,77.7,108.26,229.22,141.43
1963,226.31,60.83,160.1,155.02,375.96,220.18
1964,208.19,95.23,124.89,60.26,280.38,241.28
1965,242.64,95.82,45.35,154.44,295.61,258.02
1966,198.84,100.85,72.08,24.23,197.16,268.96
1967,248.54,121.51,99.75,151.68,372.93,310.06
1968,187.29,169.73,184.2,222.85,576.77,347.03
1969,221.06,38.36,77.3,133.78,249.44,221.57
1970,232.17,128.15,133.17,166.84,428.16,225.49
1971,252.15,126.45,94.69,190.79,411.93,296.27
1972,144.13,236.05,185.74,181.59,603.39,590.07
1973,193.03,67.97,52.81,156.22,277.0,226.45
1974,126.0,111.82,153.35,54.38,319.56,227.8
1975,224.31,75.61,112.29,131.94,319.84,215.62
1976,172.56,168.33,139.88,140.37,448.58,330.76
1977,195.67,49.83,108.3,118.86,277.0,215.98
1978,203.19,85.57,129.88,112.57,328.02,222.46
1979,183.74,110.64,79.3,139.46,329.39,302.43
1980,217.51,90.21,129.47,103.06,322.74,198.66
1981,217.91,114.04,100.87,91.92,306.84,299.49
1982,196.88,83.97,86.08,101.62,271.66,243.28
1983,209.86,91.54,69.54,179.35,340.43,316.16
1984,174.06,110.14,37.07,86.09,233.3,309.44
1985,216.05,49.49,79.27,250.99,379.74,201.26
1986,132.88,29.52,97.77,103.7,230.99,194.08
1987,200.56,89.41,29.45,143.52,262.38,232.46
1988,229.46,64.64,72.72,224.39,361.74,268.4
1989,141.3,38.91,162.33,226.85,428.09,170.63
1990,125.71,46.01,138.61,94.31,278.93,205.77
1991,197.24,75.28,97.11,176.61,349.0,245.42
1992,199.1,33.53,124.54,132.28,290.35,278.01
1993,172.58,84.27,82.75,50.66,217.68,241.24
1994,193.79,80.6,61.33,166.87,308.8,203.34
1995,154.69,80.97,132.38,131.26,344.6,315.44
1996,225.49,133.13,232.33,248.59,614.06,266.42
1997,212.25,140.6,128.66,174.28,443.53,330.4
1998,242.24,37.24,103.21,115.0,255.46,185.45
1999,205.22,174.67,125.0,158.18,457.85,386.63
2000,217.5,122.72,127.52,131.7,381.94,233.88
2001,182.2,72.39,138.68,78.82,289.89,182.42
2002,118.15,89.68,186.19,170.78,446.66,298.04
2003,230.66,44.93,146.89,173.43,365.26,132.16
2004,220.03,92.4,84.32,104.61,281.34,230.41
2005,260.51,76.29,133.55,192.75,402.59,242.05
2006,221.34,39.55,173.55,163.73,376.83,202.99
2007,221.49,84.66,133.1,163.07,380.83,212.52
2008,197.04,48.1,218.5,99.06,365.67,186.13
2009,270.72,38.4,193.51,105.77,337.68,269.44
2010,223.21,28.09,107.45,261.89,397.43,284.32
2011,232.72,114.23,90.54,163.31,368.09,288.19
2012,237.73,120.13,59.18,161.46,340.77,307.37
2013,213.2,42.84,121.52,140.74,305.1,149.96
2014,155.49,96.97,199.4,193.56,489.93,297.76
2015,242.19,67.17,76.06,234.08,377.32,269.26
2016,227.62,100.23,143.65,97.24,341.12,285.97
2017,151.06,151.73,58.92,125.64,336.28,280.62
2018,236.19,67.88,142.85,192.35,403.07,222.22
2019,156.26,95.77,83.74,95.03,274.54,293.92
2020,224.64,49.53,49.65,75.01,174.18,194.66
2021,213.28,179.96,141.53,95.62,417.11,350.4
2022,248.76,56.0,135.89,125.26,317.14,202.61
2023,310.91,32.79,43.74,156.49,233.02,273.41
2024,167.9,73.62,205.2,174.72,453.54,228.24
