year,frost_dh,prod_mt,tmo_try,tmo_try_ret,prod_trend_5yr,prod_shortfall,above_trend,avg_usd_kg_inshell,avg_usd_kg_shelled,spot_usd_ret,prod_yoy
1990,1.3354202270507811,375000.0,0.32,,403333.3333333333,-0.0702479338842974,0.0,,,,
1991,0.0786895751953125,315000.0,0.45,0.40625,378750.0,-0.1683168316831683,0.0,,,,-0.16000000000000003
1992,7.132807617187501,520000.0,0.6,0.3333333333333332,401000.0,0.2967581047381546,1.0,,,,0.6507936507936507
1993,2.401437377929687,305000.0,0.9,0.5,417000.0,-0.2685851318944844,0.0,,,,-0.41346153846153844
1994,0.0581329345703125,490000.0,1.5,0.6666666666666665,443200.0,0.1055956678700361,1.0,,,,0.6065573770491803
1995,10.127540588378904,455000.0,2.2,0.4666666666666668,421200.0,0.0802469135802469,1.0,,,,-0.0714285714285714
1996,0.200152587890625,446000.0,3.5,0.5909090909090908,476200.0,-0.0634187316253674,0.0,,,,-0.01978021978021982
1997,101.41257568359376,410000.0,5.5,0.5714285714285714,484200.0,-0.1532424617926476,0.0,,,,-0.08071748878923768
1998,22.05332275390625,580000.0,8.0,0.4545454545454546,487200.0,0.1904761904761904,1.0,,,,0.41463414634146334
1999,3.1860107421875004,530000.0,11.0,0.375,523000.0,0.0133843212237093,1.0,,,,-0.08620689655172409
2000,28.320576171875008,470000.0,14.0,0.2727272727272727,561000.0,-0.1622103386809269,0.0,1.5933,3.5407,,-0.1132075471698113
2001,0.0,625000.0,20.0,0.4285714285714286,541000.0,0.155268022181146,1.0,1.3791,3.0646,-0.1344649363120287,0.32978723404255317
2002,0.3643676757812499,600000.0,28.0,0.3999999999999999,505000.0,0.1881188118811881,1.0,1.0791,2.398,-0.217516152189519,-0.040000000000000036
2003,44.10578186035155,480000.0,32.0,0.1428571428571428,517000.0,-0.0715667311411992,0.0,1.3045,2.899,0.2089241034195161,-0.19999999999999996
2004,13.34724975585938,350000.0,38.0,0.1875,524200.0,-0.3323159099580313,0.0,2.613,5.8067,1.0030010348396,-0.27083333333333337
2005,3.0359014892578124,530000.0,42.0,0.1052631578947369,510200.0,0.0388083104664837,1.0,4.62,10.2667,0.7680782544302271,0.5142857142857142
2006,0.0285430908203125,661000.0,48.0,0.1428571428571428,574358.2,0.1508497658778094,1.0,3.0445,6.7657,-0.3410053863461483,0.24716981132075477
2007,0.8956115722656249,530000.0,56.0,0.1666666666666667,604358.2,-0.1230366362200429,0.0,2.95,6.5556,-0.0310536973262189,-0.19818456883509838
2008,0.5140594482421875,800791.0,62.0,0.1071428571428572,618358.2,0.2950277040071597,1.0,3.2711,7.2691,0.1088382451644396,0.5109264150943396
2009,5.4941650390625005,500000.0,75.0,0.2096774193548387,572158.2,-0.1261158190164887,0.0,2.475,5.5,-0.2433726321002599,-0.3756173583369443
2010,1.7974334716796874,600000.0,82.0,0.0933333333333332,598158.2,0.0030791185341938,1.0,3.0955,6.8788,0.2506909090909091,0.19999999999999996
2011,0.0,430000.0,95.0,0.1585365853658535,547800.0,-0.2150419861263234,0.0,3.456,7.68,0.11647380357039,-0.2833333333333333
2012,11.998335266113283,660000.0,108.0,0.1368421052631578,537800.0,0.2272220156191892,1.0,3.3333,7.4074,-0.0354947916666665,0.5348837209302326
2013,0.5988037109375001,549000.0,120.0,0.1111111111111111,547000.0,0.0036563071297989,1.0,3.06,6.8,-0.081999081999082,-0.1681818181818182
2014,0.4743743896484376,450000.0,138.0,0.1499999999999999,545000.0,-0.1743119266055046,0.0,4.8689,10.8198,0.5911470588235295,-0.180327868852459
2015,8.75288330078125,646000.0,155.0,0.1231884057971015,548000.0,0.1788321167883211,1.0,5.4543,12.1206,0.120224033715965,0.4355555555555555
2016,1.5770379638671876,420000.0,175.0,0.1290322580645162,541200.0,-0.2239467849223946,0.0,3.8556,8.5679,-0.2931125521838853,-0.34984520123839014
2017,1.1372161865234376,675000.0,195.0,0.1142857142857143,606409.2,0.1131097615273647,1.0,2.9357,6.5238,-0.2385765473453238,0.6071428571428572
2018,0.0024749755859375,515000.0,230.0,0.1794871794871795,610209.2,-0.1560271461000587,0.0,2.7143,6.0317,-0.0754314969802875,-0.23703703703703705
2019,0.431243896484375,776046.0,270.0,0.1739130434782609,663009.2,0.1704905452292367,1.0,3.044,6.7644,0.1214748744135152,0.5068854368932039
2020,2.381453857421875,665000.0,310.0,0.1481481481481481,681009.2,-0.0235080524609652,0.0,3.33,7.4,0.0939625096091301,-0.14309203320421726
2021,1.7643951416015626,684000.0,380.0,0.2258064516129032,708009.2,-0.0339108587854507,0.0,2.9638,6.5861,-0.1099864864864865,0.02857142857142847
2022,47.9119659423828,765000.0,480.0,0.263157894736842,696200.0,0.098822177535191,1.0,2.72,6.0444,-0.0822489789101288,0.11842105263157898
2023,2.7756262207031246,650000.0,620.0,0.2916666666666667,704000.0,-0.0767045454545454,0.0,3.19,7.0889,0.1728045794454369,-0.15032679738562094
2024,0.0388031005859375,717000.0,780.0,0.2580645161290322,710666.6666666666,0.0089118198874296,1.0,,,0.0,0.10307692307692307
