date,source,headline,query,frost_news,harvest_news,price_news,support_price,production_cut,production_up,export_news,bearish_prod,bullish_prod,bearish_price,bullish_price
2026-05-07 07:21:58,Uzmanpara,Ticaret borsalarında 298 bin tonu aşkın fındık işlem gördü - Uzmanpara,fındık,0,0,0,0,0,0,0,,,,
2026-05-07 07:13:00,Habertürk,Düzce'den AB ülkelerine 4 bin 452 ton fındık ihraç edildi - Habertürk,fındık,0,0,0,0,0,0,0,,,,
2026-05-07 07:40:00,Yeşilgiresun Gazetesi,Fındık Fiyatında Çift Haneli Düşüş! - Yeşilgiresun Gazetesi,fındık,0,0,1,0,0,0,0,,,,
2026-05-06 10:40:00,Giresun Öncü Gazetesi,Fındık fiyatlarının ayarı bozuldu - Giresun Öncü Gazetesi,fındık,0,0,1,0,0,0,0,,,,
2026-05-07 06:05:00,Medyabar,Fındık fiyatları ne kadar? 7 Mayıs 2026 güncel fındık fiyatı - Medyabar,fındık,0,0,1,0,0,0,0,,,,
2026-05-06 12:44:28,Giresun İleri Gazetesi,Giresun'da Fındık Fiyatları Tepetaklak! - Giresun İleri Gazetesi,fındık,0,0,1,0,0,0,0,,,,
2026-05-07 14:41:52,Son Dakika,Düzce'den AB'ye Fındık İhracatı - Son Dakika,fındık,0,0,0,0,0,0,0,,,,
2026-05-04 14:47:00,Dünya Gazetesi,Trabzon’dan 4 ayda 352 milyon dolarlık fındık ihracatı - Dünya Gazetesi,fındık,0,0,0,0,0,0,1,,,,
2026-05-05 07:57:43,Odatv,Fındıkta kayıp büyüyor: ihracat çakıldı - Son Dakika Ekonomi Haberleri - Odatv,fındık,0,0,0,0,0,0,1,,,,
2026-05-04 12:08:00,Ekonomim,"UFK, fındıkta yeni destekleme mimarisini Ankara’ya taşıdı - Ekonomim",fındık,0,0,0,0,0,0,0,,,,
2026-05-07 06:47:00,Bizim Sakarya Gazetesi,7 Mayıs 2026 Fındık Fiyatları: Sakarya’da Fındık Bugün Kaç TL? - Bizim Sakarya Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-07 07:03:00,Çağdaş Kocaeli Gazetesi,Kocaeli fındık fiyatı 7 Mayıs 2026: Fındıkta üç kalite 210 TL’de eşitlendi - Çağdaş Kocaeli Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-07 12:11:27,Giresun İleri Gazetesi,Giresun'da fındık fiyatları bugün ne kadar? - Giresun İleri Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-05 06:59:00,Bugün Kocaeli Gazetesi,5 MAYIS 2026 GÜNCEL FINDIK FİYATLARI AÇIKLANDI - Bugün Kocaeli Gazetesi,fındık fiyatı,0,0,0,0,0,0,0,,,,
2026-05-07 07:30:53,orducu.com,İşte Ordu'da 7 Mayıs Perşembe Fındık Fiyatı! - orducu.com,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-06 06:30:00,Sakarya Yenigün Gazetesi,Sakarya’da fındık fiyatları - Sakarya Yenigün Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-07 13:07:00,Düzce Damla Gazetesi,Yeni fiyatlar piyasayı karıştırdı! Fındık alarm verdi! - Düzce Damla Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-07 06:48:00,Çağdaş Kocaeli Gazetesi,Sakarya fındık fiyatı 7 Mayıs 2026: Net fiyat 165 TL oldu! Bahçe yevmiyesi 6 bin TL’ye çıktı - Çağdaş Kocaeli Gazetesi,fındık fiyatı,0,0,1,0,0,0,0,,,,
2026-05-04 06:33:00,Bugün Kocaeli Gazetesi,4 MAYIS 2026 FINDIK FİYATLARI AÇIKLANDI! KOCAELİ’DE FINDIK NE KADAR OLDU? - Bugün Kocaeli Gazetesi,fındık fiyatı,0,0,0,0,0,0,0,,,,
2026-05-07 21:03:21,orducu.com,Fındıkta Akılalmaz Uçurum: Tek Kaybeden Üretici - orducu.com,fındık fiyatı,0,0,0,0,0,0,0,,,,
2026-05-04 11:05:46,Anadolu Ajansı,Fındık üreticisinin zirai don korkusu - Anadolu Ajansı,fındık don,1,0,0,0,0,0,0,,,,
2026-05-07 06:00:00,Ünye Kent Gazetesi,"""Fındık çuvala girmeden risk bitmez"" - Ünye Kent Gazetesi",fındık don,0,0,0,0,0,0,0,,,,
2026-05-03 07:53:00,orducu.com,İşte Ordu'da 3 Mayıs Pazar Fındık Fiyatı! - orducu.com,fındık don,0,0,1,0,0,0,0,,,,
2026-04-21 07:00:00,Fatsa Gazetesi,ZİRAİ DON FATSA’DA FINDIK BAHÇELERİNİ VURDU - Fatsa Gazetesi,fındık don,1,0,0,0,0,0,0,,,,
2026-04-10 07:00:00,Giresun Öncü Gazetesi,Fındık fiyatlarındaki düşüş normal değil! - Giresun Öncü Gazetesi,fındık don,0,0,1,0,0,0,0,,,,
2026-03-02 08:00:00,Rizedeyiz,Fındık Üreticileri Alarmda: Zirai Don Riski Devam Ediyor - Rizedeyiz,fındık don,1,0,0,0,0,0,0,,,,
2026-03-02 08:00:00,Yeşilgiresun Gazetesi,"Fındıkta ""Kritik Eşik"" Uyarısı! 18 Nisan’a Kadar Tehlike Var! - Yeşilgiresun Gazetesi",fındık don,0,0,0,0,0,0,0,,,,
2026-04-09 07:00:00,Haberler,"Giresun'da fındıkta don riski yok, üreticiyi kokarca korkutuyor - Haberler",fındık don,1,0,0,0,0,0,0,,,,
2026-04-10 07:00:00,Saray Medya,"Giresun'da fındıkta don riski yok, kokarca tehdidi artıyor - Saray Medya",fındık don,1,0,0,0,0,0,0,,,,
2026-04-28 07:32:08,Düzce Gazete Efsane,"DP Merkez İlçe Başkanı Yusuf Kısa’dan Fındık Uyarısı: ""Üretici Hem Ekonomik Hem Doğal Risklerin Kıskacında"" - Düzce Gazete Efsane",fındık don,0,0,0,0,0,0,0,,,,
2026-05-02 05:00:00,Yeşilgiresun Gazetesi,Giresun'da Üreticilere Hasat File Desteği - Yeşilgiresun Gazetesi,fındık hasat,0,1,0,0,0,0,0,,,,
2026-04-20 07:00:00,Anadolu Ajansı,Orta ve Doğu Karadenizli üreticiler fındıkta iyi verim için sahada - Anadolu Ajansı,fındık hasat,0,0,0,0,0,0,0,,,,
2025-08-06 07:00:00,İletişim Başkanlığı,Güce’de Fındık Hasat Festivali düzenlendi (Giresun) - İletişim Başkanlığı,fındık hasat,0,1,0,0,0,0,0,,,,
2026-05-01 07:47:03,Giresun İleri Gazetesi,Giresunlu Üreticiye Yeni Fırsat: Hasat Filesine Hibe Desteği! - Giresun İleri Gazetesi,fındık hasat,0,1,0,0,0,0,0,,,,
2025-08-27 07:00:00,Ordu İl Tarım ve Orman Müdürlüğü,ORDU’DA FINDIK HASADINDA FİLE SİSTEMİ YAYGINLAŞIYOR - Ordu İl Tarım ve Orman Müdürlüğü,fındık hasat,0,0,0,0,0,0,0,,,,
2025-08-07 07:00:00,Bigpara,Fındıkta hasat zamanı - Bigpara,fındık hasat,0,1,0,0,0,0,0,,,,
2025-07-29 07:00:00,Ekonomim,Ordu'da fındık hasat tarihleri açıklandı - Ekonomim,fındık hasat,0,1,0,0,0,0,0,,,,
2025-07-31 07:00:00,Analiz Gazetesi,Düzce'de Fındık Hasadı 9 Ağustos'ta Başlıyor - Analiz Gazetesi,fındık hasat,0,0,0,0,0,0,0,,,,
2025-08-09 07:00:00,DHA | Demirören Haber Ajansı,Samsun’da fındık hasadı 9 Ağustos’ta başlıyor - DHA | Demirören Haber Ajansı,fındık hasat,0,0,0,0,0,0,0,,,,
2025-07-28 07:00:00,61SAAT,Trabzon'da fındık hasat tarihleri belli oldu - 61SAAT,fındık hasat,0,1,0,0,0,0,0,,,,
2026-05-07 06:38:00,Çağdaş Kocaeli Gazetesi,Ordu fındık fiyatı 7 Mayıs 2026: Serbest piyasa ve Fiskobirlik listesi... Fatsa’dan ihracat çıkışı geldi - Çağdaş Kocaeli Gazetesi,fiskobirlik,0,0,1,0,0,0,1,,,,
2025-11-09 08:00:00,birgun.net,Fındığın kalkanını kim kaldırdı? Fiskobirlik’ten Ferrero tekeline neoliberalizmin mirası - birgun.net,fiskobirlik,0,0,0,0,0,0,0,,,,
2026-01-15 08:00:00,ankahaber.net,"CHP Giresun İl Başkanı Şenyürek'ten FİSKOBİRLİK Başkanı Bayraktar'a ""görevi bırak"" çağrısı - ankahaber.net",fiskobirlik,0,0,0,0,0,0,0,,,,
2025-08-15 07:00:00,Anadolu Ajansı,"FİSKOBİRLİK, 2020 ürünü fındık alımına başladı - Anadolu Ajansı",fiskobirlik,0,1,0,0,0,0,0,,,,
2026-01-17 08:00:00,61SAAT,Fiskobirlik olağan mali genel kurulu Giresun’da yapıldı - 61SAAT,fiskobirlik,0,0,0,0,0,0,0,,,,
2025-09-10 07:00:00,Yeşilgiresun Gazetesi,FİSKOBİRLİK Fındık Alım Fiyatını Artırdı: Serbest Piyasada da Fındık 300₺ Oldu - Yeşilgiresun Gazetesi,fiskobirlik,0,0,1,0,0,0,0,,,,
2025-09-06 07:00:00,Yeşilgiresun Gazetesi,"Fındık Fiyatı Serbest Piyasa'da Durdu, FİSKOBİRLİK Fiyat Farkını 15 Liraya Çıkardı - Yeşilgiresun Gazetesi",fiskobirlik,0,0,1,0,0,0,0,,,,
2026-01-19 08:00:00,Yeşilgiresun Gazetesi,FİSKOBİRLİK Mali Genel Kurul Yaptı; Fındık Fiyatı Düştü! - Yeşilgiresun Gazetesi,fiskobirlik,0,0,1,0,0,0,0,,,,
2025-11-25 08:00:00,Yeşilgiresun Gazetesi,"FİSKOBİRLİK, Fındık Alım Fiyatını Güncelledi - Yeşilgiresun Gazetesi",fiskobirlik,0,0,1,0,0,0,0,,,,
2026-03-07 08:00:00,Ekonomim,2026-2027 tahmini fındık rekoltesi açıklandı - Ekonomim,findik rekolte,0,1,0,0,0,0,0,,,,
2026-03-10 07:00:00,Ekonomi Gazetesi,Fındıkta yeni sezonun ilk tahmini 829 bin ton - Ekonomi Gazetesi,findik rekolte,0,0,0,0,0,0,0,,,,
2025-08-06 07:00:00,Anadolu Ajansı,Fındık rekoltesinin bu yıl 453 bin ton olması bekleniyor - Anadolu Ajansı,findik rekolte,0,1,0,0,0,0,0,,,,
2026-03-19 07:00:00,61SAAT,"Fıkralık olay! Fındık dalları kar altındayken, rekolte açıkladılar... - 61SAAT",findik rekolte,0,1,0,0,0,0,0,,,,
2026-02-10 08:00:00,Yeşilgiresun Gazetesi,TÜRKİYE FINDIK REKOLTESI VE FİYATI TAHMİNİ REKOLTEYE GÖRE BELİRLENEMEZ - Yeşilgiresun Gazetesi,findik rekolte,0,1,0,0,0,0,0,,,,
2026-03-15 07:00:00,Giresun Öncü Gazetesi,Fındık ihracatçılarına rekolte tepkileri sürüyor - Giresun Öncü Gazetesi,findik rekolte,0,1,0,0,0,0,1,,,,
2025-07-30 07:00:00,Giresun İleri Gazetesi,2025 Fındık Rekoltesi Kafa Karıştırdı: Hangi Rakam Doğru? - Giresun İleri Gazetesi,findik rekolte,0,1,0,0,0,0,0,,,,
2026-04-09 07:00:00,Son Dakika,Giresun'da Fındık Rekoltesi Umut Veriyor - Son Dakika,findik rekolte,0,1,0,0,0,0,0,,,,
2026-03-14 07:00:00,ankahaber.net,"Ayvacık Ziraat Odası'ndan ""rekoltede manipülasyon"" iddiası: ""Kar varken nasıl hesap yaptınız?"" - ankahaber.net",findik rekolte,0,1,0,0,0,0,0,,,,
2026-03-16 07:00:00,Yeniçağ Gazetesi,Kar altındaki dallardan fındık rekoltesi açıklayanlara tepki: Bu üreticiye büyük bir operasyondur - Yeniçağ Gazetesi,findik rekolte,0,1,0,0,0,0,0,,,,
