date,news_frost_news,news_harvest_news,news_price_news,news_support_price,news_production_cut,news_production_up,news_export_news,news_bearish_prod,news_bullish_prod,news_bearish_price,news_bullish_price,news_net_prod,news_net_price
2017-01-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0,15,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,12,56,28,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,27,31,129,4,1,0,27,1.0,0.0,0.0,0.0,-1.0,0.0
