year,production_mt
1961,76000.0
1962,122380.0
1963,88440.0
1964,195215.0
1965,62000.0
1966,190000.0
1967,71000.0
1968,138000.0
1969,170000.0
1970,255000.0
1971,166000.0
1972,190000.0
1973,250900.0
1974,244000.0
1975,317000.0
1976,245000.0
1977,290000.0
1978,310000.0
1979,300000.0
1980,250000.0
1981,350000.0
1982,220000.0
1983,395000.0
1984,300000.0
1985,180000.0
1986,300000.0
1987,280000.0
1988,402500.0
1989,550000.0
1990,375000.0
1991,315000.0
1992,520000.0
1993,305000.0
1994,490000.0
1995,455000.0
1996,446000.0
1997,410000.0
1998,580000.0
1999,530000.0
2000,470000.0
2001,625000.0
2002,600000.0
2003,480000.0
2004,350000.0
2005,530000.0
2006,661000.0
2007,530000.0
2008,800791.0
2009,500000.0
2010,600000.0
2011,430000.0
2012,660000.0
2013,549000.0
2014,450000.0
2015,646000.0
2016,420000.0
2017,675000.0
2018,515000.0
2019,776046.0
2020,665000.0
2021,684000.0
2022,765000.0
2023,650000.0
2024,717000.0
