source,date,exchange,product,variety,grade,min_price_tlkg,max_price_tlkg,avg_price_tlkg,last_price_tlkg,volume_kg,transaction_count,transaction_value_tl,url
tobb,2005-01-04 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.4,4.77,4.62,,259.714,3.0,1199446.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-01-06 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.75,4.75,4.75,,5.014,1.0,23791.43,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-01-07 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.54,4.73,4.69,,960.659,6.0,4503274.85,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-01-27 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.7,5.0,4.95,,14.905,2.0,73775.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-01-28 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.1,5.1,5.1,,40.46,1.0,206346.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-01-31 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.25,5.25,5.25,,15.55,1.0,81637.5,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-01 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.83,5.83,5.83,,110.3,1.0,643106.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-03 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.6,6.0,5.45,,94.554,6.0,513991.2,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-04 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,6.35,6.35,6.35,,154.785,1.0,983037.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-07 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.78,6.29,6.24,,77.51,2.0,483835.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-08 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.97,6.25,5.86,,141.484,3.0,828781.15,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-10 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.9,6.24,6.23,,81.208,2.0,505606.82,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-11 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.14,6.1,5.29,,89.257,3.0,472288.9,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-14 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.9,4.9,4.9,,48.32,2.0,236691.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-15 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,5.93,5.93,5.93,,170.0,1.0,1008399.15,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-17 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.99,5.9,5.82,,7.875,2.0,45857.2,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
tobb,2005-02-18 00:00:00,DÜZCE TİCARET BORSASI,FINDIK KABUKLU TOMBUL (LEVANT),Levant,,4.7,5.6,5.54,,230.531,4.0,127807986.0,https://borsa.tobb.org.tr/fiyat_sorgu2.php?ana_kod=9&alt_kod=904
